Rocket Coffee, specialty coffee shop, 1187475975, https://www.openstreetmap.org/node/11518539371, lokacija nije precizna
Rustique Zanatska pekara, 1685480079, 
S N I P P S T E R, 2013743040, 
SLOJ bakery, 1582711830, 
SLOJ bistro & bakery, 1814863328, https://www.openstreetmap.org/node/11764377146
SMASH BURGERS, 89156012, https://www.openstreetmap.org/node/9922158698
SOL express & bar, 627208555, https://www.openstreetmap.org/node/12180905651
SPOT, 1019687062, 
Saint Ten Hotel, 1787571081, X, pogresna kategorija
Salatara, 554534649, https://www.openstreetmap.org/node/8023234791
Salon de thé by Small Tree, 1978875308, https://www.openstreetmap.org/node/8194981497
Samo Dobra Kafa, 419105402, 
Sendvič store Novi Beograd, 1256332730, https://www.openstreetmap.org/node/12611777668
SmartLife restoran, 1152900492, 
Sonder.Belgrade, 993449728, 
Spoon Kafeterija, 2034931628, 
Starbucks Rajićeva, 1193025049, https://www.openstreetmap.org/node/6407770286
Stories, 1674170981, https://www.openstreetmap.org/node/11004082105
Sunshine bagel, 701673151, https://www.openstreetmap.org/node/12161696264
Svetozar, 223918979, https://www.openstreetmap.org/node/6658104086
Sweet & green, 1116718072, 
TAO Thai restoran, 2023486167, https://www.openstreetmap.org/node/12327084557
Teel cafe, 1453881553, https://www.openstreetmap.org/node/12324250961
Telma, 1080394719, https://www.openstreetmap.org/way/394116518
Thyme - StreetFood & Breakfast, 477649052, 
Thyme - StreetFood & Breakfast, 189113808, https://www.openstreetmap.org/node/10855613994
Tischler tobacco & coffee, 20031410, 
Tokio Sushi, 17632923, 
Trattoria Sette Nani, 696541072, https://www.openstreetmap.org/node/12647119768
Two Dogs Cafe / Dve kere, 780896955, 
Urbano Kafa & Voće, 800239942, 
Urma poslastičarnica, 361628331, 
VERA CAFE — Comfort Food, Specialty Coffee & Wine in Belgrade, 784218343, https://www.openstreetmap.org/node/7198360085
Valentina i Karanfil, 1796672748, https://www.openstreetmap.org/node/12407738790
Vapiano Rajićeva, 948240615, https://www.openstreetmap.org/node/6478921680
VegANGELov, 1629892293, https://www.openstreetmap.org/node/9612829318
Vege Art, 1034777640, 
Vege Vegan, 948724880, 
Vinarija Frunzalerovic, 1813742854, 
